Episode,Score,Total_Reward,Pieces_Placed,Epsilon
669,400,-223.9,57,0.261
670,100,-141.3,27,0.261
671,200,-167.3,49,0.26
672,0,-227.9,41,0.26
673,1200,-45.5,82,0.259
674,300,-250.2,53,0.259
675,600,-480.9,61,0.258
676,100,-352.3,39,0.258
677,0,-352.9,46,0.257
678,200,-297.7,47,0.257
679,0,-381.1,43,0.256
680,0,-213.5,42,0.256
681,900,-316.5,67,0.255
682,300,-123.4,46,0.255
683,900,-401.8,75,0.254
684,200,-133.6,45,0.254
685,0,-532.1,45,0.253
686,300,-210.3,48,0.253
687,200,-251.5,42,0.252
688,0,-162.9,41,0.252
689,0,-380.7,43,0.251
690,400,-382.5,60,0.251
691,500,-214.1,55,0.25
692,400,-288.0,62,0.25
693,400,-84.3,52,0.249
694,400,-155.8,48,0.249
695,700,-160.7,65,0.248
696,1000,-57.6,69,0.248
697,600,-132.6,65,0.247
698,0,-198.8,29,0.247
699,500,-120.9,54,0.246
700,200,-145.6,37,0.246
701,900,-103.5,68,0.245
702,300,-137.5,43,0.245
703,500,-161.3,60,0.244
704,500,-51.3,56,0.244
705,400,-309.5,50,0.243
706,100,-157.0,41,0.243
707,100,-275.4,31,0.242
708,0,-196.4,39,0.242
709,0,-291.6,39,0.241
710,200,-192.7,44,0.241
711,200,-379.0,47,0.24
712,1000,-312.1,73,0.24
713,300,-186.8,59,0.239
714,200,-290.4,49,0.239
715,600,-450.2,63,0.238
716,0,-190.8,39,0.238
717,500,-317.0,60,0.238
718,200,-230.0,36,0.237
719,1300,-30.2,75,0.237
720,0,-465.2,34,0.236
721,0,-125.3,42,0.236
722,300,-387.6,55,0.235
723,200,-162.7,42,0.235
724,300,-500.7,49,0.234
725,700,-143.6,56,0.234
726,300,-282.8,56,0.233
727,300,-314.3,46,0.233
728,300,-372.6,52,0.232
729,0,-144.4,23,0.232
730,200,-197.2,36,0.231
731,0,-336.0,43,0.231
732,700,-335.4,60,0.231
733,200,-235.3,56,0.23
734,100,-144.9,44,0.23
735,700,-318.7,57,0.229
736,300,-333.3,51,0.229
737,400,-206.9,49,0.228
738,200,-173.5,47,0.228
739,700,-272.9,66,0.227
740,0,-298.8,38,0.227
741,200,-238.9,47,0.226
742,500,-386.3,57,0.226
743,200,-127.1,40,0.225
744,100,-437.2,51,0.225
745,300,-295.4,56,0.225
746,700,-34.4,58,0.224
747,1300,-343.2,83,0.224
748,100,-304.0,51,0.223
749,500,-119.9,48,0.223
750,600,-64.6,57,0.222
751,700,-101.5,59,0.222
752,1000,12.0,66,0.221
753,900,-127.9,61,0.221
754,900,-21.1,63,0.221
755,300,-342.8,45,0.22
756,100,-33.8,30,0.22
757,1200,34.8,74,0.219
758,600,-276.8,69,0.219
759,800,-56.9,60,0.218
760,600,-124.1,57,0.218
